2023-085A               
2 57037  97.4601 300.9748 0012090 186.7151 173.3918 15.09522136  4306
2023-085AL              
1 57038U 23085AL  23194.71198088  .00007494  00000+0  46877-3 0  9990
2 57038  97.4608 300.9793 0010998 190.0790 170.0220 15.09647708  4309
2023-085AM              
1 57039U 23085AM  23194.70987438  .00008609  00000+0  53559-3 0  9999
2 57039  97.4584 300.9730 0011603 191.4121 168.6848 15.09798738  4300
2023-085AN              
1 57040U 23085AN  23194.70909613  .00009106  00000+0  56545-3 0  9991
2 57040  97.4570 300.9688 0011877 191.7995 168.2958 15.09847745  4305
2023-085AP              
1 57041U 23085AP  23194.70729930  .00008724  00000+0  54050-3 0  9998
2 57041  97.4628 300.9925 0012230 193.2064 166.8847 15.09938863  4305
2023-085AQ              
1 57042U 23085AQ  23194.70688132  .00008632  00000+0  53453-3 0  9991
2 57042  97.4573 300.9727 0012547 193.0187 167.0720 15.09960088  4307
2023-085AR              
1 57043U 23085AR  23194.70573802  .00008693  00000+0  53732-3 0  9996
2 57043  97.4613 300.9885 0012761 193.8805 166.2075 15.10021215  4307
2023-085AS              
1 57044U 23085AS  23194.70527250  .00007237  00000+0  44814-3 0  9997
2 57044  97.4589 300.9801 0013201 193.9117 166.1750 15.10008730  4301
NUSANTARA TIGA (SATRIA) 
1 57045U 23086A   23193.08669962 -.00000233  00000+0  00000+0 0  9991
2 57045  21.1505  66.2438 7517761 187.7365 144.5479  1.27448458   330
SHIYAN 25 (SY-25)       
1 57047U 23087A   23194.87908992  .00108921  60308-5  37031-3 0  9994
2 57047  96.6366 268.7200 0013017 181.1309 178.9938 15.89743922  3751
STARLINK-5847           
1 57048U 23088A   23194.73965334  .00008756  00000+0  70095-4 0  9994
2 57048  42.9992 349.9815 0001879 277.3899  82.6756 15.71372626  3412
STARLINK-5850           
1 57049U 23088B   23194.73975815  .00007551  00000+0  60958-4 0  9999
2 57049  42.9985 349.9796 0002027 271.7477  88.3159 15.71362953  3411
STARLINK-5845           
1 57050U 23088C   23194.73944270  .00012341  00000+0  97355-4 0  9996
