 [01:52:56]  INP: S 3, D 8, Dp 31, Sp 61, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:53:16]  INP: S 3, D 8, Dp 31, Sp 58, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:53:26]  INP: S 3, D 8, Dp 31, Sp 45, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:53:27]  OUT: S 8, D 5, Dp 1, Sp 62, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:53:28]  INP: S 5, D 8, Dp 62, Sp 1, Pr 2, Fl 0x01, Sz 8 VIA: KISS
 [01:53:29]  OUT: S 8, D 5, Dp 1, Sp 38, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:53:30]  INP: S 5, D 8, Dp 38, Sp 1, Pr 2, Fl 0x01, Sz 8 VIA: KISS
 [01:53:30]  OUT: S 8, D 5, Dp 9, Sp 40, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:31]  INP: S 5, D 8, Dp 40, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:53:31]  OUT: S 8, D 5, Dp 9, Sp 59, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:33]  OUT: S 8, D 5, Dp 9, Sp 47, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:34]  OUT: S 8, D 5, Dp 9, Sp 35, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:35]  OUT: S 8, D 5, Dp 9, Sp 54, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:37]  OUT: S 8, D 5, Dp 9, Sp 42, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:38]  OUT: S 8, D 5, Dp 9, Sp 62, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:39]  INP: S 5, D 8, Dp 62, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:53:39]  OUT: S 8, D 5, Dp 9, Sp 50, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:40]  INP: S 5, D 8, Dp 50, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:53:41]  OUT: S 8, D 5, Dp 9, Sp 37, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:41]  INP: S 5, D 8, Dp 37, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:53:42]  OUT: S 8, D 5, Dp 9, Sp 57, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:43]  INP: S 5, D 8, Dp 57, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:53:43]  OUT: S 8, D 5, Dp 9, Sp 45, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:44]  INP: S 5, D 8, Dp 45, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:53:45]  OUT: S 8, D 5, Dp 9, Sp 33, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:45]  INP: S 5, D 8, Dp 33, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:53:46]  OUT: S 8, D 5, Dp 9, Sp 52, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:47]  OUT: S 8, D 5, Dp 9, Sp 40, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:48]  INP: S 5, D 8, Dp 40, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:53:49]  OUT: S 8, D 5, Dp 9, Sp 60, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:49]  INP: S 5, D 8, Dp 60, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:53:50]  OUT: S 8, D 5, Dp 9, Sp 47, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:51]  INP: S 5, D 8, Dp 47, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:53:51]  OUT: S 8, D 5, Dp 9, Sp 35, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:52]  INP: S 5, D 8, Dp 35, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:53:53]  OUT: S 8, D 5, Dp 9, Sp 61, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:53:53]  INP: S 5, D 8, Dp 61, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
