 [00:55:17]  Set Debug : True.
 [01:42:17]  OUT: S 8, D 5, Dp 1, Sp 51, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:42:20]  OUT: S 8, D 5, Dp 1, Sp 40, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:42:24]  OUT: S 8, D 5, Dp 1, Sp 61, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:42:27]  OUT: S 8, D 5, Dp 1, Sp 50, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:42:30]  OUT: S 8, D 5, Dp 1, Sp 40, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:42:34]  OUT: S 8, D 5, Dp 1, Sp 61, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:42:37]  OUT: S 8, D 5, Dp 1, Sp 50, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:42:40]  OUT: S 8, D 5, Dp 1, Sp 39, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:42:44]  OUT: S 8, D 5, Dp 1, Sp 60, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:42:47]  OUT: S 8, D 5, Dp 1, Sp 49, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:42:50]  OUT: S 8, D 5, Dp 1, Sp 39, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:42:54]  OUT: S 8, D 5, Dp 1, Sp 60, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:42:57]  OUT: S 8, D 5, Dp 1, Sp 49, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:00]  OUT: S 8, D 5, Dp 1, Sp 38, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:04]  OUT: S 8, D 5, Dp 1, Sp 59, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:07]  OUT: S 8, D 5, Dp 1, Sp 49, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:10]  OUT: S 8, D 5, Dp 1, Sp 38, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:14]  OUT: S 8, D 5, Dp 1, Sp 59, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:17]  OUT: S 8, D 5, Dp 1, Sp 48, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:20]  OUT: S 8, D 5, Dp 1, Sp 37, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:24]  OUT: S 8, D 5, Dp 1, Sp 58, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:27]  OUT: S 8, D 5, Dp 1, Sp 48, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:30]  OUT: S 8, D 5, Dp 1, Sp 37, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:34]  OUT: S 8, D 5, Dp 1, Sp 58, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:37]  OUT: S 8, D 5, Dp 1, Sp 47, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:40]  OUT: S 8, D 5, Dp 1, Sp 36, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:44]  OUT: S 8, D 5, Dp 1, Sp 57, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:47]  OUT: S 8, D 5, Dp 1, Sp 47, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:50]  OUT: S 8, D 5, Dp 1, Sp 35, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:54]  OUT: S 8, D 5, Dp 1, Sp 56, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:43:57]  OUT: S 8, D 5, Dp 1, Sp 45, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:00]  OUT: S 8, D 5, Dp 1, Sp 63, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:04]  OUT: S 8, D 5, Dp 1, Sp 47, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:07]  OUT: S 8, D 5, Dp 1, Sp 37, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:10]  OUT: S 8, D 5, Dp 1, Sp 58, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:14]  OUT: S 8, D 5, Dp 1, Sp 47, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:17]  OUT: S 8, D 5, Dp 1, Sp 36, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:20]  OUT: S 8, D 5, Dp 1, Sp 57, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:24]  OUT: S 8, D 5, Dp 1, Sp 46, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:27]  OUT: S 8, D 5, Dp 1, Sp 36, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:27]  INP: S 5, D 8, Dp 36, Sp 1, Pr 2, Fl 0x01, Sz 8 VIA: KISS
 [01:44:28]  OUT: S 8, D 5, Dp 1, Sp 33, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [01:44:29]  OUT: S 8, D 5, Dp 9, Sp 36, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:31]  OUT: S 8, D 5, Dp 9, Sp 57, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:31]  INP: S 5, D 8, Dp 57, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:44:32]  OUT: S 8, D 5, Dp 9, Sp 45, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:33]  OUT: S 8, D 5, Dp 9, Sp 33, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:34]  INP: S 5, D 8, Dp 33, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:44:35]  OUT: S 8, D 5, Dp 9, Sp 50, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:36]  OUT: S 8, D 5, Dp 9, Sp 38, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:37]  OUT: S 8, D 5, Dp 9, Sp 53, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:39]  OUT: S 8, D 5, Dp 9, Sp 41, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:40]  OUT: S 8, D 5, Dp 9, Sp 60, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:40]  INP: S 5, D 8, Dp 60, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:44:41]  OUT: S 8, D 5, Dp 9, Sp 48, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:43]  OUT: S 8, D 5, Dp 9, Sp 36, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:44]  OUT: S 8, D 5, Dp 9, Sp 56, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:44]  INP: S 5, D 8, Dp 56, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:44:45]  OUT: S 8, D 5, Dp 9, Sp 43, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:47]  OUT: S 8, D 5, Dp 9, Sp 63, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:48]  OUT: S 8, D 5, Dp 9, Sp 51, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:44:49]  OUT: S 8, D 5, Dp 9, Sp 39, Pr 1, Fl 0x01, Sz 0 VIA: KISS
