 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  OUT: S 8, D 3, Dp 15, Sp 43, Pr 2, Fl 0x03, Sz 67 VIA: KISS
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [00:13:12]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  INP: S 3, D 8, Dp 43, Sp 15, Pr 1, Fl 0x03, Sz 9 VIA: KISS
 [02:18:14]  RDP 0x55b2da321be0: Received in S 3: syn 0, ack 1, eack 0, rst 0, seq_nr 39985, ack_nr 48178, packet_len 5 (0)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:14]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:15]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
