 [01:46:09]  OUT: S 8, D 5, Dp 9, Sp 34, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:10]  OUT: S 8, D 5, Dp 9, Sp 52, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:12]  OUT: S 8, D 5, Dp 9, Sp 38, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:13]  OUT: S 8, D 5, Dp 9, Sp 56, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:14]  OUT: S 8, D 5, Dp 9, Sp 43, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:16]  OUT: S 8, D 5, Dp 9, Sp 61, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:17]  OUT: S 8, D 5, Dp 9, Sp 47, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:18]  OUT: S 8, D 5, Dp 9, Sp 33, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:20]  OUT: S 8, D 5, Dp 9, Sp 52, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:21]  OUT: S 8, D 5, Dp 9, Sp 63, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:22]  OUT: S 8, D 5, Dp 9, Sp 49, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:23]  OUT: S 8, D 5, Dp 9, Sp 58, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:25]  OUT: S 8, D 5, Dp 9, Sp 45, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [00:11:43]  OUT: S 8, D 5, Dp 9, Sp 63, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:27]  OUT: S 8, D 5, Dp 9, Sp 49, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:29]  OUT: S 8, D 5, Dp 9, Sp 35, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:30]  OUT: S 8, D 5, Dp 9, Sp 54, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:31]  OUT: S 8, D 5, Dp 9, Sp 40, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:33]  OUT: S 8, D 5, Dp 9, Sp 58, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:34]  OUT: S 8, D 5, Dp 9, Sp 45, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:35]  OUT: S 8, D 5, Dp 9, Sp 63, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:36]  OUT: S 8, D 5, Dp 9, Sp 40, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:38]  OUT: S 8, D 5, Dp 9, Sp 52, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:39]  OUT: S 8, D 5, Dp 9, Sp 36, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:40]  OUT: S 8, D 5, Dp 9, Sp 54, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:42]  OUT: S 8, D 5, Dp 9, Sp 40, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:43]  OUT: S 8, D 5, Dp 9, Sp 58, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:44]  OUT: S 8, D 5, Dp 9, Sp 45, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:46]  OUT: S 8, D 5, Dp 9, Sp 63, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:47]  OUT: S 8, D 5, Dp 9, Sp 49, Pr 1, Fl 0x01, Sz 0 VIA: KISS
